product_name,category,ingredients,price,cost,seasonal,active,introduced_date,product_id,Profit Margin
Tarte Tropézienne,Tarte,"Brioche dough, pastry cream, orange blossom water, pearl sugar",6.5,3,False,True,25-Mar-18,1,3.5
tarte bourdaloue,Tarte,"Sweet pastry crust, almond cream, poached pears, almond flakes",7,2,True,True,01-Oct-15,2,5
tarte flambée,Tarte,"Thin dough, crčme fraîche, onions, bacon lardons",8.5,2,True,True,,3,6.5
Tarte Normande,Tarte,"Sweet pastry crust, apples, Calvados custard, almonds",6.5,,False,True,23-Dec-33,4,6.5
Tarte au Citron Vert et Basilic,Tarte,"Tart shell, lime curd, fresh basil, meringue kisses",7.5,2,False,True,,5,5.5
pain de campagne,Bread,"Rustic sourdough, whole wheat flour, rye flour, sea salt",360,1.5,True,True,24-Jan-17,6,358.5
FOUGASSE AUX OLIVES,Bread,"Provençal flatbread, Kalamata olives, herbs de Provence, olive oil",4.5,1.2,False,False,06-Mar-18,7,3.3
Brioche Feuilletée,Tarte,"Laminated brioche dough, butter, sugar",3,0.8,True,False,30-Dec-24,8,2.2
Pain aux Noix et Figues,Bread,Whole wheat flour; walnuts; dried figs; honey,5.5,2,True,True,28-Jun-18,9,3.5
Pain au Chocolat Pistache,Bread,"Croissant dough, dark chocolate, pistachio paste",3.5,1,True,True,,10,2.5
Paris-Brest Revisité,Pastry,"Choux pastry ring, praline-hazelnut cream, raspberry coulis",5.5,2,True,True,27-Oct-30,11,3.5
Éclair Caramel Salé,Pastry,Choux pastry; salted caramel filling; chocolate glaze; fleur de sel,4.5,1.5,,True,07-Apr-51,12,3
Religieuse Exotique,Pastry,"Choux buns, passion fruit curd, coconut cream, mango glaze",6,2.5,False,True,30-Oct-16,13,3.5
Mille-Feuille Framboise,Pastry,Puff pastry; raspberry cream; fresh raspberries; powdered sugar,6.5,2.8,False,True,20-Mar-28,14,3.7
cannelé bordelais,Pastry,"Rum and vanilla custard, caramelized crust",127.5,0.75,True,True,11-Oct-26,15,126.75
Croissant Amande,Viennoiserie,"Egg Whites, Cream, Flour, frangipane filling, sliced almonds",3.8,1.2,False,False,28-Feb-46,16,2.6
pain aux raisins,Viennoiserie,"Sweet bread dough, raisins, pastry cream",3.2,0.9,True,True,,17,2.3
Chausson aux Pommes,Viennoiserie,Puff pastry; apple compote; cinnamon; sugar,3.5,1,True,True,27-May-28,18,2.5
kouign-amann,Viennoiserie,"Laminated dough, butter, sugar (caramelized)",4,1.3,True,False,,19,2.7
Pain Suisse,Viennoiserie,Brioche dough; pastry cream; chocolate chips,3.5,1,True,True,17-Aug-24,20,2.5
macaron pistache,Tarte,"Almond Flour, Raisins, Seeds",3.51,1.43,False,True,19-Aug-30,21,2.08
Financiers Pistache,Pastry,,2,0.6,False,True,,22,1.4
madeleines citron,N/A,Lemon-infused madeleine cakes,1.5,0.4,True,True,06-Aug-41,23,1.1
Croissant,Viennoiserie,Egg Whites  Cream  Lemons  Flour,,4.71,,True,08-Aug-16,24,-4.71
pain au chocolat,Tarte,Grains  Raisins  Cream  Seeds  Salt  Egg Whites,4.32,0.51,True,False,,25,3.81
madeleines citron (New),N/A,Lemon-infused madeleine cakes,1.5,0.4,True,True,06-Aug-41,26,1.1
